contig	length	depth_mapped	gc	maxbin	metabat
k99_13825	78981	65757	47	maxbin_1	metabat_1
k99_113023	76852	62267	45	maxbin_1	metabat_1
k99_92301	67350	55021	47	maxbin_1	metabat_1
k99_43914	56576	44319	48	maxbin_1	metabat_1
k99_48378	54879	43209	47	maxbin_1	metabat_1
k99_37866	41482	33073	48	maxbin_1	metabat_1
k99_27428	40033	31974	48	maxbin_1	metabat_1
k99_92801	40028	32571	48	maxbin_1	metabat_1
k99_10749	36228	27848	48	maxbin_1	metabat_1
k99_2489	35850	29309	48	maxbin_1	metabat_1
k99_122526	34122	26766	47	maxbin_1	metabat_1
k99_62853	31726	25181	48	maxbin_1	metabat_1
k99_83566	31666	25315	48	maxbin_1	metabat_1
k99_44126	30922	25347	47	maxbin_1	metabat_1
k99_66669	30078	23805	48	maxbin_1	metabat_1
k99_60327	30032	23291	48	maxbin_1	metabat_1
k99_105572	29819	23348	47	maxbin_1	metabat_1
k99_20988	29364	21848	48	maxbin_1	metabat_1
k99_105754	28616	23031	48	maxbin_1	metabat_1
k99_36725	28575	22827	48	maxbin_1	metabat_1
k99_72031	28552	22103	49	maxbin_1	metabat_1
k99_59682	27859	22511	48	maxbin_1	metabat_1
k99_13259	26963	21325	47	maxbin_1	metabat_1
k99_94234	26847	21721	46	maxbin_1	metabat_1
k99_27987	26617	22146	47	maxbin_1	metabat_1
k99_95766	26166	19809	50	maxbin_1	metabat_1
k99_30491	26123	20899	47	maxbin_1	metabat_1
k99_93002	25907	37593	47	maxbin_1	metabat_1
k99_67209	24913	19456	47	maxbin_1	metabat_1
k99_104472	24859	20118	49	maxbin_1	metabat_1
k99_85086	24833	20813	47	maxbin_1	metabat_1
k99_79950	24607	19378	47	maxbin_1	metabat_1
k99_81982	24431	19300	47	maxbin_1	metabat_1
k99_55842	24181	19667	46	maxbin_1	metabat_1
k99_25197	24058	18944	48	maxbin_1	metabat_1
k99_19054	23970	19332	48	maxbin_1	metabat_1
k99_38631	23709	18255	48	maxbin_1	metabat_1
k99_12145	23404	18292	47	maxbin_1	metabat_1
k99_34063	23364	18732	45	maxbin_1	metabat_1
k99_71839	23168	17646	49	maxbin_1	metabat_1
k99_13179	23048	18744	47	maxbin_1	metabat_1
k99_41444	22901	18558	47	maxbin_1	metabat_1
k99_52180	22860	17821	47	maxbin_1	metabat_1
k99_120929	22527	18276	46	maxbin_1	metabat_1
k99_26836	22388	18234	47	maxbin_1	metabat_1
k99_35196	22324	17731	49	maxbin_1	metabat_1
